input1,input2,class
26.25357119,40.35281898,none
26.35431653,40.60295556,none
25.85246603,40.70257977,thumb
25.55484299,40.65279818,none
45.92167244,147.9143333,none
54.11885069,174.9246981,thumb
26.06050652,43.66062299,none
25.65443431,40.75966143,none
24.95495943,40.55305167,none
24.85860012,40.80196074,thumb
24.95696296,40.60295556,none
25.20714185,40.80808743,none
25.70408528,40.90598978,thumb
25.9566947,40.70257977,none
25.60468707,43.26314829,none
39.82900953,163.8319261,thumb
35.21292376,106.2586467,none
26.40454506,42.22203216,none
25.36434505,40.80196074,none
26.36000759,40.45305922,none
25.85246603,40.70626487,none
25.85246603,40.80196074,thumb
25.85826754,40.75598116,none
26.00576859,42.57757626,none
35.67141713,117.7193697,thumb
29.78002686,96.82277625,none
25.70408528,43.75385697,none
25.30414986,40.70257977,none
24.95095189,40.40297019,none
25.06092576,40.55305167,thumb
23.71075705,40.25232913,none
23.85267281,40.40297019,none
24.15263961,40.55305167,none
27.30567707,67.9013991,none
37.09919137,152.9681339,thumb
26.43766253,55.96650784,none
22.70462508,41.5541815,none
23.10411219,40.55305167,none
23.35915238,40.60295556,thumb
23.40512764,40.45305922,none
23.40512764,40.60295556,thumb
24.60487757,40.25232913,none
24.23839929,42.5335162,none
27.38156314,67.94372672,none
55.97365452,147.2170167,thumb
30.97337566,47.35715363,none
25.06890504,40.65525796,none
24.85256526,40.40297019,none
24.55504022,40.80196074,thumb
25.50490149,40.60295556,none
26,40.90110023,none
33.09682764,127.2888448,none
38.88701583,155.4794199,none
123.8809913,158.6054854,thumb
33.21219655,68.01176369,none
26.00576859,148.5106057,thumb
116.3885733,74.93063459,none
59.88321969,135.9779394,thumb
27.4508652,46.3734838,none
25.2537126,41.27408388,none
36.07076378,123.9514018,thumb
30.40065789,80.53446467,none
26.01730194,43.6457329,none
25.55484299,41.26075617,none
25.65443431,40.75230055,none
25.30414986,40.45305922,none
25,40.80196074,thumb
24.61300469,40.70257977,none
26.15817272,50.95684449,none
36.41153663,161.4145285,thumb
32.38363784,64.71553137,none
25.21309184,41.32069699,none
25.10776772,40.70257977,none
25.31205247,40.55305167,none
25.66417737,41,thumb
26.00576859,40.55305167,none
25.35448678,40.55305167,none
55.1280328,158.970752,thumb
43.94542069,102.5397484,none
27.33313008,46.34490263,none
27.59800717,40.15158776,none
25.56071204,40.15158776,none
25.35448678,40.15158776,none
25.30414986,40.45305922,none
39.41065846,142.940722,thumb
30.48032152,61.05284596,none
25.56071204,41.15883866,none
25.43422891,40.70257977,none
24.71234509,40.55305167,none
25.51470164,40.75230055,none
25.85246603,40.80196074,thumb
24.50918195,40.55305167,none
29.57617284,87.39536601,none
38.76789909,141.5088336,thumb
28.33813685,45.63879928,none
26.32679244,44.19389098,none
26.6045109,40.25232913,none
26.01730194,40.25232913,none
25.10776772,40.45305922,thumb
25.41653005,40.35281898,none
24.61300469,42.51235115,none
42.09216079,181.1735356,thumb
38.52596527,117.7703273,none
36.00624946,42.42758537,none
25.65833198,44.65310739,thumb
25.40472397,41.15883866,none
25.4106277,40.40297019,none
25.85826754,40.40297019,none
25.6105447,41.8132754,none
31.24819995,102.1547845,none
37.9763084,126.7972792,thumb
29.23439755,43.1723291,none
25.4106277,40.45305922,none
25.10776772,40.55305167,none
25.41653005,40.70257977,thumb
25.20912533,40.55305167,none
26.0835197,62.78136666,none
52.44663955,211.7088803,thumb
31.89357302,57.52651563,none
26.40454506,41.06032148,none
25.15849757,40.75230055,none
25.80310059,40.60295556,none
25.55484299,40.30260537,none
25.45486201,40.5030863,none
31.07893177,122.1603454,none
38.72402355,123.5352177,thumb
27.46543282,45.56917818,none
25.86020108,40.85156056,none
26.66364566,40.90110023,thumb
26.38086428,40.5030863,none
25.92489151,40.70257977,none
25.31600284,42.30425511,none
27.09058877,75.8692955,none
44.40551768,144.3587545,thumb
30.15874666,46.2941681,none
25.11374126,40.5030863,none
25.65443431,40.60295556,thumb
25.90752786,40.45305922,none
25.45486201,40.60295556,none
25.31007704,40.90110023,none
39.78756087,140,thumb
34.95926201,74.89759676,none
28.0668844,41.35516896,none
25.85246603,40.75230055,none
26.58853136,40.60295556,none
25.76722725,40.75230055,thumb
26,40.71731818,none
35.38997033,132.9667252,thumb
31.45393457,97.47512503,none
26.9351072,44.95942615,none
25.6105447,40.55305167,none
25.50490149,40.40297019,none
25.40472397,40.45305922,thumb
24.85860012,40.35281898,none
24.70425065,41.01097414,none
33.367649,117.6530918,none
50.59496022,153.9905841,thumb
32.6863886,44.69731536,none
24.85860012,41.06032148,none
25.45486201,40.20199,none
25.15849757,40.55305167,thumb
24.70425065,40.30260537,none
24.70425065,41.76421914,none
38.26747967,140.2741958,thumb
53.77964299,102.1117035,none
30.941881,45.88954129,none
26.46034769,40.80441153,none
26.30969403,40.60295556,none
24.85860012,40.45305922,none
25.65443431,40.45305922,none
25.86406774,45.58782732,none
45.77772384,178.8840407,thumb
29.8462728,65.59077679,none
26.47168298,44.07153276,none
25.55484299,40.90476745,none
25.05094809,40.15158776,none
25.60468707,40.30260537,none
24.70425065,40.65279818,none
28.47191599,93.39084538,none
38.21910517,167.7085269,thumb
29.66479395,112.6023978,none
26,46.20335486,none
25.56071204,40.85156056,none
25.10776772,41.77020469,thumb
25.65443431,40.70257977,none
25.15849757,40.81543826,none
26.3865496,41.10474425,none
29.86134625,42.60985801,none
36.22361108,110.6587096,none
45.18406799,134.5215596,thumb
30.66186557,44.62678568,none
29.75819215,40.60295556,none
31.65675283,40.60295556,none
32.00156246,40.75230055,thumb
30.56386756,40.15158776,none
28.85740806,40.60295556,none
29.01034298,40.90476745,none
32.03513696,42.15151243,none
45.52526771,104.1407701,none
73.36654551,177.1003953,thumb
33.74314745,46.61598438,none
31.85671044,41.2019417,none
31.60537929,40.55305167,none
30.91601527,40.45305922,none
30.70342,40.35281898,none
